num_hyps,proof_effort,frequency,canonical
0,0,1,(ys : List β) : [].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse
1,1,2,(xs : List α) (ys : List β) (h : (x :: xs).length = (y :: ys).length) : xs.length = ys.length
1,1,1,(h' : xs.length = ys.length) : xs.reverse.length = ys.reverse.length
1,1,1,(head✝ : β) (tail✝ : List β) (h : [].length = (head✝ :: tail✝).length) : zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse
1,1,1,(ys : List β) (h : [].length = ys.length) : zip' [].reverse ys.reverse = (zip' [] ys).reverse
1,1,1,"(x : α) (xs : List α) (y : β) (ys : List β) (head✝ : β) (tail✝ : List β) (hrev : [].length = (head✝ :: tail✝).length) : zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)]"
1,1,1,"(x : α) (xs : List α) (y : β) (ys : List β) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' xs ys).reverse ++ [(x, y)]) : zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse"
1,1,1,"(x : α) (xs : List α) (y : β) (ys : List β) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' xs ys).reverse ++ [(x, y)]) : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' (x :: xs) (y :: ys)).reverse"
1,1,1,"(x : α) (xs : List α) (y : β) (ys : List β) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = ((x, y) :: zip' xs ys).reverse) : zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse"
1,1,1,"(x : α) (xs : List α) (y : β) (ys : List β) (vs : List β) (hrev : [].length = vs.length) : zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]"
2,2,2,(ys : List β) (h : [].length = ys.length) (head✝ : β) (tail✝ : List β) (h1 : zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse) : zip' [].reverse ys.reverse = (zip' [] ys).reverse
2,2,2,(ys : List β) (h : [].length = ys.length) (head✝ : β) (tail✝ : List β) (h1 : zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse) : [].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse
2,2,2,"(x : α) (xs : List α) (y : β) (ys : List β) (vs : List β) (hrev : [].length = vs.length) (head✝ : β) (tail✝ : List β) (h1 : zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)]) : zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]"
2,6,2,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → (head✝ : β) → (tail✝ : List β) → zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (x :: xs).length = ys.length → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,7,2,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse [].reverse = (zip' [] []).reverse ∧ ((head✝ : β) → (tail✝ : List β) → zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse)) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (x :: xs).length = ys.length → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,6,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,3,1,"(x : α) (xs : List α) (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) (h : (x :: xs).length = [].length) : zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse"
2,3,1,"(x : α) (y : β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (v : β) (vs : List β) (hrev' : us.length = vs.length) : zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]"
