num_hyps,proof_effort,frequency,canonical
1,1,1,(xs : List α) (ys : List β) (h : (x :: xs).length = (y :: ys).length) : xs.length = ys.length
1,1,1,(ys : List β) (h : [].length = ys.length) : zip' [] ys ++ zip' as bs = zip' ([] ++ as) (ys ++ bs)
1,1,1,"(h1 : (x, y) :: (zip' xs ys ++ zip' as bs) = (x, y) :: zip' (xs ++ as) (ys ++ bs)) : zip' (x :: xs) (y :: ys) ++ zip' as bs = zip' (x :: xs ++ as) (y :: ys ++ bs)"
1,1,1,(xs : List α) (as : List α) (ys : List β) (bs : List β) (h : xs.length = ys.length) : zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)
2,3,1,"(ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) (ys : List β) (h' : xs.length = ys.length) : (x, y) :: (zip' xs ys ++ zip' as bs) = zip' (x :: xs ++ as) (y :: ys ++ bs)"
2,3,1,"(ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) (ys : List β) (h' : xs.length = ys.length) : zip' (x :: xs) (y :: ys) ++ zip' as bs = zip' (x :: xs ++ as) (y :: ys ++ bs)"
2,3,1,"(xs : List α) (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) (ys : List β) (h : (x :: xs).length = (y :: ys).length) : zip' (x :: xs) (y :: ys) ++ zip' as bs = zip' (x :: xs ++ as) (y :: ys ++ bs)"
2,3,1,"(x : α) (xs : List α) (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) (ys : List β) (h : (x :: xs).length = ys.length) : zip' (x :: xs) ys ++ zip' as bs = zip' (x :: xs ++ as) (ys ++ bs)"
2,2,1,(xs : List α) (as : List α) (ys : List β) (bs : List β) (h : xs.length = ys.length) (h1 : zip' [] ys ++ zip' as bs = zip' ([] ++ as) (ys ++ bs)) : zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)
3,10,2,"(xs : List α) (as : List α) (ys : List β) (bs : List β) (h : xs.length = ys.length) (h1 : zip' [] ys ++ zip' as bs = zip' ([] ++ as) (ys ++ bs) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) → ((h✝ : (x :: xs).length = ys.length) → zip' (x :: xs) [] ++ zip' as bs = zip' (x :: xs ++ as) ([] ++ bs)) ∧ ((ys✝ : List β) → (h✝ : (x :: xs).length = ys✝.length) → (y : β) → zip' (x :: xs) (y :: ys) ++ zip' as bs = zip' (x :: xs ++ as) (y :: ys ++ bs)) ∧ ((ys✝ : List β) → (h✝ : (x :: xs).length = ys✝.length) → (y : β) → xs.length = ys.length))) : zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)"
3,11,2,"(xs : List α) (as : List α) (ys : List β) (bs : List β) (h : xs.length = ys.length) (h1 : ((x✝ : [].length = [].length) → zip' [] [] ++ zip' as bs = zip' ([] ++ as) ([] ++ bs)) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) → ((h✝ : (x :: xs).length = ys.length) → zip' (x :: xs) [] ++ zip' as bs = zip' (x :: xs ++ as) ([] ++ bs)) ∧ ((ys✝ : List β) → (h✝ : (x :: xs).length = ys✝.length) → (y : β) → zip' (x :: xs) (y :: ys) ++ zip' as bs = zip' (x :: xs ++ as) (y :: ys ++ bs)) ∧ ((ys✝ : List β) → (h✝ : (x :: xs).length = ys✝.length) → (y : β) → xs.length = ys.length))) : zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)"
3,11,2,"(xs : List α) (as : List α) (ys : List β) (bs : List β) (h : xs.length = ys.length) (h1 : ((h✝ : [].length = ys.length) → (head✝ : β) → (tail✝ : List β) → zip' [] (head✝ :: tail✝) ++ zip' as bs = zip' ([] ++ as) (head✝ :: tail✝ ++ bs)) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)) → ((h✝ : (x :: xs).length = ys.length) → zip' (x :: xs) [] ++ zip' as bs = zip' (x :: xs ++ as) ([] ++ bs)) ∧ ((ys✝ : List β) → (h✝ : (x :: xs).length = ys✝.length) → (y : β) → zip' (x :: xs) (y :: ys) ++ zip' as bs = zip' (x :: xs ++ as) (y :: ys ++ bs)) ∧ ((ys✝ : List β) → (h✝ : (x :: xs).length = ys✝.length) → (y : β) → xs.length = ys.length))) : zip' xs ys ++ zip' as bs = zip' (xs ++ as) (ys ++ bs)"
