theorem_id,candidate_idx,num_hyps,proof_effort,was_picked,theorem_ok
prop_29,0,2,5,0,0
prop_29,1,2,5,0,0
prop_29,2,3,3,0,0
prop_29,3,2,7,0,0
prop_29,4,3,6,0,0
prop_29,5,2,3,0,0
prop_29,6,2,3,0,0
prop_29,7,3,4,0,0
prop_29,8,3,3,0,0
prop_29,9,2,5,0,0
prop_29,10,3,3,0,0
prop_29,11,3,6,0,0
prop_29,12,2,7,0,0
prop_29,13,2,5,0,0
prop_29,14,2,5,0,0
prop_29,15,2,7,0,0
prop_29,16,1,1,0,0
prop_29,17,2,4,0,0
prop_29,18,2,5,0,0
prop_29,19,1,1,0,0
prop_29,20,2,5,0,0
prop_29,21,2,7,0,0
prop_29,22,2,2,0,0
prop_29,23,3,6,0,0
prop_29,24,2,3,0,0
prop_29,25,3,3,0,0
prop_29,26,3,6,0,0
prop_29,27,0,0,1,0
prop_29,28,1,1,0,0
prop_29,29,2,5,0,0
prop_58,0,3,3,0,0
prop_58,1,3,4,0,0
prop_58,2,3,3,0,0
prop_58,3,2,3,0,0
prop_58,4,3,3,0,0
prop_58,5,2,3,0,0
prop_58,6,3,3,0,0
prop_58,7,2,2,0,0
prop_58,8,2,4,0,0
prop_58,9,2,3,0,0
prop_58,10,2,2,0,0
prop_58,11,3,3,0,0
prop_58,12,3,4,0,0
prop_58,13,1,1,0,0
prop_58,14,2,5,0,0
prop_58,15,1,1,1,0
prop_58,16,2,2,0,0
prop_58,17,3,4,0,0
prop_58,18,2,2,0,0
prop_58,19,2,2,0,0
prop_58,20,2,5,0,0
prop_58,21,3,3,0,0
prop_58,22,3,3,0,0
prop_58,23,2,4,0,0
prop_58,24,2,2,0,0
prop_58,25,2,4,0,0
prop_58,26,0,0,0,0
prop_58,27,2,4,0,0
prop_58,28,2,2,0,0
prop_58,29,2,3,0,0
prop_77,0,4,16,0,0
prop_77,1,7,17,0,0
prop_77,2,7,23,0,0
prop_77,3,8,21,0,0
prop_77,4,3,3,0,0
prop_77,5,7,17,0,0
prop_77,6,7,13,0,0
prop_77,7,8,18,0,0
prop_77,8,9,25,0,0
prop_77,9,4,31,0,0
prop_77,10,8,23,0,0
prop_77,11,4,9,0,0
prop_77,12,7,14,0,0
prop_77,13,4,18,0,0
prop_77,14,6,9,0,0
prop_77,15,7,16,0,0
prop_77,16,7,8,0,0
prop_77,17,7,27,0,0
prop_77,18,8,22,0,0
prop_77,19,5,13,0,0
prop_77,20,6,12,0,0
prop_77,21,4,5,0,0
prop_77,22,2,6,0,0
prop_77,23,8,22,0,0
prop_77,24,5,11,0,0
prop_77,25,7,19,0,0
prop_77,26,5,15,0,0
prop_77,27,8,20,0,0
prop_77,28,2,20,0,0
prop_77,29,2,24,1,0
prop_78,0,7,22,0,0
prop_78,1,7,19,0,0
prop_78,2,2,2,0,0
prop_78,3,2,5,0,0
prop_78,4,5,10,0,0
prop_78,5,5,10,0,0
prop_78,6,7,12,0,0
prop_78,7,5,8,0,0
prop_78,8,6,14,0,0
prop_78,9,7,11,0,0
prop_78,10,4,28,0,0
prop_78,11,8,9,0,0
prop_78,12,2,6,0,0
prop_78,13,6,17,0,0
prop_78,14,6,7,0,0
prop_78,15,7,21,0,0
prop_78,16,4,18,0,0
prop_78,17,6,14,0,0
prop_78,18,7,18,0,0
prop_78,19,3,4,0,0
prop_78,20,4,9,0,0
prop_78,21,7,16,0,0
prop_78,22,4,8,0,0
prop_78,23,6,13,0,0
prop_78,24,4,16,0,0
prop_78,25,3,15,0,0
prop_78,26,4,9,1,0
prop_78,27,6,10,0,0
prop_78,28,6,11,0,0
prop_78,29,6,7,0,0
prop_85,0,2,10,1,0
prop_85,1,2,8,0,0
prop_85,2,4,6,0,0
prop_85,3,4,5,0,0
prop_85,4,2,9,0,0
prop_85,5,2,10,0,0
prop_85,6,3,4,0,0
prop_85,7,2,7,0,0
prop_85,8,2,6,0,0
prop_85,9,2,9,0,0
prop_85,10,2,6,0,0
prop_85,11,2,11,0,0
prop_85,12,2,2,0,0
prop_85,13,0,0,0,0
